epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1173.71,0.74246,0.68895,0.88975,0.94393,0.80203,0.86463,0.48167,1.52156,0.99324,1.4331,0.00208,0.00208,0.00208
82,1192.98,0.72546,0.66359,0.86785,0.94389,0.80143,0.86464,0.46615,1.56644,1.0056,1.44598,0.001981,0.001981,0.001981
83,1208.68,0.70721,0.67174,0.85333,0.82484,0.89723,0.85962,0.49096,1.4607,0.95284,1.40645,0.001882,0.001882,0.001882
84,1224.4,0.67025,0.66954,0.8699,0.82451,0.89527,0.86145,0.49461,1.4085,0.92102,1.38362,0.001783,0.001783,0.001783
85,1239.75,0.69526,0.66746,0.87623,0.88731,0.85714,0.86436,0.48785,1.46281,0.91207,1.4166,0.001684,0.001684,0.001684
86,1256.4,0.72427,0.65265,0.86712,0.88731,0.85714,0.86436,0.48785,1.46281,0.91207,1.4166,0.001585,0.001585,0.001585
87,1273.38,0.63931,0.62686,0.84842,0.89592,0.85714,0.90593,0.50925,1.39617,0.91846,1.3566,0.001486,0.001486,0.001486
88,1291.87,0.68316,0.66151,0.89399,0.89986,0.85585,0.87055,0.51377,1.41034,0.92518,1.3553,0.001387,0.001387,0.001387
89,1308.54,0.65858,0.64638,0.88172,0.89981,0.85538,0.91224,0.53337,1.40129,0.91944,1.33988,0.001288,0.001288,0.001288
90,1324.51,0.62937,0.65337,0.85699,0.89973,0.85467,0.91502,0.51304,1.41435,0.90769,1.35095,0.001189,0.001189,0.001189
91,1339.6,0.62692,0.68351,0.84148,0.83097,0.93685,0.92294,0.53196,1.40545,0.89646,1.35609,0.00109,0.00109,0.00109
92,1355.4,0.64812,0.68241,0.86528,0.89387,0.85714,0.92516,0.52161,1.41954,0.90187,1.37567,0.000991,0.000991,0.000991
93,1374.07,0.61351,0.69085,0.85998,0.94299,0.78832,0.92056,0.52006,1.42918,0.90014,1.37097,0.000892,0.000892,0.000892
94,1394.74,0.60633,0.65093,0.88011,0.94299,0.78832,0.92056,0.52006,1.42918,0.90014,1.37097,0.000793,0.000793,0.000793
95,1414.26,0.6058,0.68833,0.83849,0.94172,0.7699,0.88024,0.52035,1.43684,0.89161,1.37844,0.000694,0.000694,0.000694
96,1429.7,0.58226,0.64389,0.87937,0.94186,0.7619,0.91898,0.52295,1.45046,0.89792,1.392,0.000595,0.000595,0.000595
97,1445.08,0.58669,0.6441,0.8495,0.94246,0.7619,0.91898,0.51442,1.45183,0.88723,1.38962,0.000496,0.000496,0.000496
98,1460.44,0.61818,0.66052,0.84817,0.94184,0.77164,0.91897,0.51782,1.45424,0.88429,1.39791,0.000397,0.000397,0.000397
99,1476.1,0.61187,0.67356,0.83123,0.94897,0.7619,0.91897,0.5328,1.44677,0.88219,1.39989,0.000298,0.000298,0.000298
100,1492.9,0.58461,0.6256,0.82949,0.94168,0.76931,0.91897,0.5194,1.43762,0.88213,1.39434,0.000199,0.000199,0.000199
