epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1073.68,0.62249,0.50229,0.92864,0.9538,1,0.995,0.85061,0.59405,0.49556,0.90344,0.001486,0.001486,0.001486
88,1087.74,0.63416,0.54691,0.93309,0.98423,1,0.995,0.86223,0.62061,0.48481,0.91979,0.001387,0.001387,0.001387
89,1101.28,0.66247,0.5761,0.98968,0.98423,1,0.995,0.86223,0.62061,0.48481,0.91979,0.001288,0.001288,0.001288
90,1114.48,0.57177,0.52103,0.91357,0.99456,1,0.995,0.8603,0.61074,0.46117,0.91561,0.001189,0.001189,0.001189
91,1128.22,0.54143,0.60086,0.9188,0.99848,1,0.995,0.86906,0.57084,0.45062,0.90276,0.00109,0.00109,0.00109
92,1141.3,0.58329,0.56786,0.94339,1,0.99833,0.995,0.90185,0.52998,0.45024,0.88548,0.000991,0.000991,0.000991
93,1155.46,0.53124,0.52318,0.88585,1,0.99833,0.995,0.90185,0.52998,0.45024,0.88548,0.000892,0.000892,0.000892
94,1171.69,0.51973,0.5203,0.90527,1,0.99753,0.995,0.90472,0.50721,0.45117,0.87531,0.000793,0.000793,0.000793
95,1187.25,0.55961,0.48258,0.86951,1,0.99744,0.995,0.8933,0.48562,0.46391,0.86716,0.000694,0.000694,0.000694
96,1203.12,0.49965,0.46456,0.86635,1,0.99799,0.995,0.90387,0.47104,0.472,0.86346,0.000595,0.000595,0.000595
97,1218.1,0.50204,0.49291,0.87507,1,0.99799,0.995,0.90387,0.47104,0.472,0.86346,0.000496,0.000496,0.000496
98,1232.86,0.45747,0.47065,0.85016,1,0.998,0.995,0.91068,0.46469,0.47149,0.86239,0.000397,0.000397,0.000397
99,1245.59,0.47858,0.45972,0.8784,1,0.99773,0.995,0.90668,0.46544,0.4671,0.86324,0.000298,0.000298,0.000298
100,1256.05,0.43879,0.46081,0.83904,1,0.99813,0.995,0.91287,0.46623,0.45869,0.86372,0.000199,0.000199,0.000199
